comp,units,games,avg_place,top4_rate,win_rate,stability_score,estimated_level,estimated_gold,play_style,economy_type
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona",22,3.86,63.64,4.55,112.85,7.5,25,Level7 Roll,Standard
AurelionSol+Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Sona,"AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona",21,3.81,52.38,14.29,112.2,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Galio+Illaoi+Karma+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Galio,Illaoi,Karma,Mordekaiser,Nunu,Sona",20,3.95,65.0,5.0,111.5,7.5,25,Level7 Roll,Standard
Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona+Vex,"Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex",30,4.03,63.33,6.67,111.17,7.5,25,Level7 Roll,Standard
Akali+Belveth+Briar+Diana+Jinx+Kindred+Maokai+RekSai,"Akali,Belveth,Briar,Diana,Jinx,Kindred,Maokai,RekSai",20,3.8,60.0,0.0,111.0,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Shen+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Shen,TahmKench,Urgot",45,4.13,60.0,8.89,110.75,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona",144,4.6,48.61,4.17,110.35,7.0,15,Level7 Roll,Aggressive
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona,Vex",84,4.31,53.57,5.95,109.62,7.5,25,Level7 Roll,Standard
Galio+Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona,"Galio,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona",24,4.08,62.5,4.17,108.18,7.5,25,Level7 Roll,Standard
AurelionSol+Bard+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona,"AurelionSol,Bard,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona",22,4.05,59.09,4.55,107.39,7.5,25,Level7 Roll,Standard
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona+Teemo,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona,Teemo",31,4.1,54.84,6.45,106.59,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Sona+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Sona,TahmKench,Urgot",42,4.17,54.76,2.38,105.59,7.5,25,Level7 Roll,Standard
Bard+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Rhaast+Veigar,"Bard,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Rhaast,Veigar",22,4.14,59.09,4.55,105.57,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Pantheon+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Pantheon,TahmKench,Urgot",33,4.24,57.58,6.06,104.95,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Pyke+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona",55,4.31,52.73,5.45,104.8,7.5,25,Level7 Roll,Standard
