comp,games,avg_place,top4_rate,win_rate
Aatrox+Akali+Fiora+Graves+Maokai+Rhaast+Shen+TahmKench+Vex,33,6.0,27.27272727272727,0.0
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench,116,6.077586206896552,15.517241379310345,1.7241379310344827
Corki+Illaoi+IvernMinion+Lissandra+Mordekaiser+Poppy+Rammus+Summon+Veigar,34,6.088235294117647,11.76470588235294,0.0
Aatrox+Diana+Kindred+Leblanc+Maokai+Morgana+Shen+TahmKench,26,6.153846153846154,3.8461538461538463,0.0
Bard+Corki+Fizz+Galio+Gnar+IvernMinion+Poppy+Rammus,35,6.171428571428572,11.428571428571429,0.0
Belveth+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,23,6.173913043478261,17.391304347826086,4.3478260869565215
Illaoi+IvernMinion+Lissandra+Mordekaiser+Pyke+Rhaast+Summon+Viktor,26,6.1923076923076925,7.6923076923076925,0.0
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Shen+TahmKench,25,6.2,16.0,0.0
Akali+Belveth+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,209,6.205741626794258,13.397129186602871,0.0
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Riven+TahmKench,86,6.209302325581396,15.11627906976744,0.0
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Nunu,30,6.233333333333333,13.333333333333334,3.3333333333333335
Gwen+Nami+Nasus+Ornn+Ornn+Samira+Samira,177,6.242937853107344,14.689265536723164,0.5649717514124294
Blitzcrank+Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Sona+Summon,24,6.291666666666667,16.666666666666664,0.0
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Rhaast,56,6.303571428571429,17.857142857142858,0.0
Chogath+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,25,6.32,16.0,0.0
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+TahmKench+Xayah,78,6.346153846153846,12.82051282051282,0.0
Aatrox+Jax+Jhin+Maokai+Nunu+Rhaast+TahmKench+Xayah,102,6.352941176470588,5.88235294117647,0.9803921568627451
Corki+Fizz+Galio+Gnar+IvernMinion+Poppy+Rammus+Veigar,29,6.379310344827586,13.793103448275861,0.0
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+TahmKench+Xayah,86,6.511627906976744,12.790697674418606,1.1627906976744187
Aatrox+Jax+Maokai+Mordekaiser+Nunu+Samira+TahmKench+Xayah,28,6.607142857142857,10.714285714285714,0.0
AurelionSol+Galio+Karma+Mordekaiser+TahmKench+Urgot,35,6.628571428571429,5.714285714285714,2.857142857142857
Belveth+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,22,6.636363636363637,9.090909090909092,0.0
AurelionSol+Blitzcrank+Galio+Karma+Mordekaiser+Morgana,33,6.696969696969697,9.090909090909092,0.0
Aurora+Diana+Illaoi+IvernMinion+Jinx+Leblanc+Leona+Summon,51,6.764705882352941,5.88235294117647,0.0
Aatrox+Jax+Maokai+Nunu+Rhaast+Samira+TahmKench+Xayah,59,6.813559322033898,1.694915254237288,0.0
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Samira+TahmKench+Xayah,49,6.816326530612245,6.122448979591836,0.0
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+TahmKench,64,6.828125,6.25,0.0
Bard+Corki+Fizz+IvernMinion+Lissandra+Poppy+Rammus+Veigar,35,6.828571428571428,5.714285714285714,0.0
Gwen+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench+Teemo,20,6.9,0.0,0.0
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Rhaast+TahmKench+Xayah,20,7.0,5.0,0.0
Gwen+Nami+Nasus+Nunu+Ornn+Pantheon+Riven+TahmKench,54,7.018518518518518,1.8518518518518516,0.0
Corki+Fizz+Gnar+IvernMinion+Lissandra+Poppy+Rammus+Veigar,51,7.254901960784314,0.0,0.0
Akali+Belveth+Briar+Jinx+Maokai+RekSai,86,7.255813953488372,0.0,0.0
Akali+Belveth+Gragas+Graves+Maokai+MasterYi+TahmKench+Urgot,26,7.269230769230769,0.0,0.0
AurelionSol+Fiora+Galio+Karma+TahmKench+Urgot,32,7.40625,0.0,0.0
